ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
104939,6.444444444444445,0.2222222222222222,0.0,1.3333333333333333,0.6666666666666666,0.0,9
105154,2.7,1.2,0.0,1.2,0.0,0.0,10
105166,12.833333333333334,35.0,0.0,3.3333333333333335,0.8333333333333334,0.0,6
105447,9.0,0.0,0.0,1.0,1.0,0.0,6
105596,4.3,0.5,0.2,0.7,0.4,0.0,10
105861,4.375,2.75,0.0,1.125,0.0,0.0,8
106294,1.3636363636363635,1.9090909090909092,1.0909090909090908,1.2727272727272727,0.09090909090909091,0.0,11
106814,3.0,0.6666666666666666,0.3333333333333333,1.1666666666666667,0.16666666666666666,0.0,6
106894,3.3636363636363638,1.6363636363636365,0.0,0.8181818181818182,0.0,1.0,11
107112,2.888888888888889,3.7777777777777777,0.0,1.4444444444444444,0.0,0.0,9
107200,3.625,2.625,1.0,1.375,0.0,0.0,8
107629,1.7142857142857142,2.4285714285714284,0.8571428571428571,1.0,0.0,0.0,7
108163,5.222222222222222,7.333333333333333,3.3333333333333335,1.5555555555555556,0.0,0.0,9
108302,2.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,6
108328,1.2857142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,1.0,7
108582,5.888888888888889,4.333333333333333,2.2222222222222223,1.8888888888888888,0.3333333333333333,0.0,9
108780,5.285714285714286,7.285714285714286,1.1428571428571428,1.2857142857142858,0.0,1.0,7
109083,1.125,1.25,1.25,0.25,0.0,0.0,8
109262,1.25,0.375,0.375,0.625,0.0,0.0,8
109494,1.7,1.7,0.6,0.9,0.1,0.0,10
109556,3.6,1.8,1.2,1.8,0.0,0.0,10
109627,2.375,5.25,3.0,1.0,0.0,0.0,8
109704,11.0,2.6666666666666665,2.6666666666666665,1.0,1.0,0.0,9
110599,7.1,4.1,2.1,2.1,0.5,0.0,10
111102,2.5555555555555554,2.4444444444444446,0.0,1.5555555555555556,0.0,0.0,9
111410,0.5,0.1,0.1,0.4,0.5,0.0,10
111765,6.909090909090909,1.4545454545454546,1.3636363636363635,1.0,0.8181818181818182,0.0,11
111984,3.4444444444444446,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,9
112144,1.9090909090909092,1.0909090909090908,0.7272727272727273,0.9090909090909091,0.0,0.0,11
112155,3.0,1.0,0.3333333333333333,1.1666666666666667,0.0,0.0,6
112237,1.1428571428571428,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.0,7
112604,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,11
112721,2.9,0.9,0.0,2.3,0.0,0.0,10
112887,9.375,2.875,2.625,1.25,0.0,0.0,8
113038,3.0,7.363636363636363,0.0,1.2727272727272727,0.0,1.0,11
113250,1.4444444444444444,2.111111111111111,1.6666666666666667,0.8888888888888888,0.0,0.0,9
113402,1.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.0,7
113559,9.428571428571429,5.571428571428571,0.0,2.7142857142857144,0.7142857142857143,0.0,7
113563,2.75,1.625,1.625,0.5,0.0,1.0,8
114099,3.25,1.125,1.125,0.875,0.0,0.0,8
