ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
149164,2.8181818181818183,1.8181818181818181,1.5454545454545454,1.1818181818181819,0.09090909090909091,0.0,11
149224,3.8333333333333335,0.0,0.0,0.8333333333333334,0.3333333333333333,0.0,6
149229,2.5,0.6,0.4,1.4,0.0,0.0,10
149554,1.2857142857142858,1.0,0.7142857142857143,0.42857142857142855,0.0,0.0,7
149706,0.1,0.5,0.5,0.1,0.0,0.0,10
149990,2.727272727272727,1.1818181818181819,0.0,1.1818181818181819,0.0,0.0,11
150200,3.6666666666666665,4.0,4.0,1.3333333333333333,0.0,0.0,6
150507,1.6666666666666667,7.333333333333333,0.8333333333333334,1.0,0.0,1.0,6
150615,0.875,0.5,0.5,0.25,0.125,0.0,8
150631,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,7
150701,1.7272727272727273,1.6363636363636365,0.7272727272727273,1.1818181818181819,0.0,0.0,11
151504,2.6666666666666665,1.2222222222222223,0.0,1.2222222222222223,0.0,0.0,9
152086,1.2727272727272727,6.545454545454546,0.18181818181818182,1.6363636363636365,0.0,0.0,11
152112,1.0,0.5,0.5,0.16666666666666666,0.0,1.0,6
152148,2.6,1.4,0.9,1.1,0.0,0.0,10
152159,5.125,9.75,6.875,1.375,0.375,0.0,8
152194,2.4545454545454546,1.2727272727272727,0.0,1.0909090909090908,0.0,0.0,11
152222,3.111111111111111,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,9
152231,0.7777777777777778,0.0,0.0,1.1111111111111112,0.1111111111111111,0.0,9
152433,3.6666666666666665,3.111111111111111,1.6666666666666667,1.2222222222222223,0.0,0.0,9
152621,8.2,7.5,7.5,1.2,0.8,1.0,10
152667,2.3333333333333335,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.0,9
152720,6.0,0.7,0.0,1.4,0.5,0.0,10
152858,9.727272727272727,0.5454545454545454,0.5454545454545454,1.0909090909090908,0.9090909090909091,0.0,11
152965,1.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.0,0.0,11
153385,0.7,0.5,0.0,0.8,0.0,0.0,10
153388,16.333333333333332,0.16666666666666666,0.16666666666666666,2.5,0.0,0.0,6
153392,1.125,0.875,0.125,0.875,0.0,0.0,8
153501,2.5454545454545454,0.7272727272727273,0.6363636363636364,0.45454545454545453,0.09090909090909091,0.0,11
153947,5.571428571428571,1.1428571428571428,0.42857142857142855,1.4285714285714286,0.42857142857142855,0.0,7
154050,4.125,2.75,0.0,1.0,0.0,0.0,8
154553,19.142857142857142,10.428571428571429,1.7142857142857142,1.7142857142857142,0.0,0.0,7
154569,4.0,3.7142857142857144,2.142857142857143,1.2857142857142858,0.0,0.0,7
154626,2.0,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,9
154684,2.5,3.4,0.9,1.9,0.0,1.0,10
154945,1.3636363636363635,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0,1.0,11
155258,1.5,0.25,0.25,0.25,0.0,0.0,8
155298,3.8333333333333335,0.8333333333333334,0.8333333333333334,1.5,0.6666666666666666,0.0,6
155459,4.166666666666667,2.5,0.0,1.0,0.0,0.0,6
155721,5.0,2.4285714285714284,0.0,1.0,0.0,0.0,7
155935,1.0,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,9
156149,3.4285714285714284,1.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.0,7
156305,6.25,2.0,1.375,0.875,0.875,0.0,8
156438,3.6,1.0,1.0,0.9,0.0,0.0,10
156673,4.333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,6
156989,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.5,0.0,0.0,6
